Dataset,Model,RMSE,MAE,MAPE,QLIKE,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations,realized_window,alpha,train_fraction
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",0.642995293652357,0.5206942633237864,83.55294908356588,4.4828709441375505,0.01,-0.7372174503173163,-1.1405654216416754,0.0023419203747072,0.0023419203747072,0.1309701604519248,0.0012697800840528,427,1,10,0.01,0.8
synthetic_regime_garch,"GARCH(2,1)-t",0.6433408447672212,0.5250847890458106,85.20324781586334,4.866988021341495,0.01,-0.7110033444264965,-1.1000089986684356,0.0,0.0,0.1305692322035326,0.0,427,0,10,0.01,0.8
synthetic_regime_garch,"GARCH(1,1)-t",0.6433412430500727,0.5250856646410089,85.20357226328599,4.867084774529657,0.01,-0.7109980254026522,-1.1000007694890108,0.0,0.0,0.1305689896503677,0.0,427,0,10,0.01,0.8
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",0.6433474525030086,0.5251100633854199,85.21684229746135,4.872050796090882,0.01,-0.7108061650794996,-1.0997039381398903,0.0,0.0,0.1306719986556749,0.0,427,0,10,0.01,0.8
synthetic_regime_garch,"GARCH(1,2)-t",0.6437920932922692,0.5253239234705935,85.20150761576471,4.906468279963188,0.01,-0.709841473149731,-1.0982114419202782,0.0,0.0,0.1297278737943156,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,HAR-RV,0.2085769552381617,0.1163939858446441,40.53440032683348,1180914712.880112,0.01,-1.6561297719618642,-2.6019463735165465,0.002283105022831,0.002283105022831,0.1530300490731077,3.147163393285894e-05,438,1,10,0.01,0.8
synthetic_sv_jump_t,Naive-RV,0.209594775887886,0.1092452783726003,34.40366559734282,-0.329679110986087,0.01,-1.6790937289084729,-2.63802505859932,0.0,0.0,0.1542607265600439,0.0,438,0,10,0.01,0.8
synthetic_sv_jump_t,RGARCH-t,0.2438152600369404,0.1506981641482241,61.388297598096784,-0.2946212041261496,0.01,-1.736915702830165,-2.728869192858734,0.0,0.0,0.1576899615712746,0.0,438,0,10,0.01,0.8
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.244209974143389,0.1499503624979762,59.70554861424399,-0.2918628517049944,0.01,-1.7315487426537426,-2.720437158845296,0.0,0.0,0.1574077337141744,0.0,438,0,10,0.01,0.8
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.3153638272599228,0.1875689815793113,71.53653576587209,-0.1290115788122006,0.01,-1.5366686313409972,-2.4142609113764624,0.0,0.0,0.1447010772871255,0.0,438,0,10,0.01,0.8
synthetic_sv_jump_t,REGARCH-t,0.3757942737343295,0.2296464234379659,68.58414286694354,-0.0271036996462756,0.01,-1.299702929221471,-2.041963969605222,0.0,0.0,0.1305426766562034,0.0,438,0,10,0.01,0.8
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.4377377075626379,0.310237508764257,76.23974431027779,2.360515088630501,0.01,-0.7652767572835387,-1.202326724065593,0.0,0.0,0.0998752671857394,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.4391718835596566,0.310116377147507,75.8076400814366,2.3042680173214847,0.01,-0.7706403249318283,-1.210753428076261,0.0,0.0,0.0989053471320397,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.4900920429828638,0.3401167308884195,80.1361229639718,4.12709805786476,0.01,-0.6504807440454012,-1.0219706460601263,0.0023419203747072,0.0023419203747072,0.0974964397017945,0.0003184296191277,427,1,10,0.01,0.8
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",0.4900948064852206,0.3397503340691354,79.85495456992936,4.081662572732379,0.01,-0.6532994556141409,-1.026399125318478,0.0023419203747072,0.0023419203747072,0.0969014912230206,0.0004553755217617,427,1,10,0.01,0.8
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",0.4965426249143338,0.3528431056344485,87.94243089283226,6.489174314228273,0.01,-0.5510588012285819,-0.8657687783443222,0.0,0.0,0.0940905939891509,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"GARCH(2,1)-t",0.4966945792266437,0.3530699912795875,88.13530262291425,6.526334717013288,0.01,-0.5491461702332553,-0.8627638427611221,0.0,0.0,0.0951718484472783,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"GARCH(1,1)-t",0.4970785080200848,0.3530511467206067,87.9778608631863,6.452908703824147,0.01,-0.5502976620639645,-0.8645729521943147,0.0,0.0,0.0938588814797478,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"GARCH(1,2)-t",0.4970785245193228,0.3530511754863,87.97789260862953,6.452929989156173,0.01,-0.5502972939741879,-0.8645723738882695,0.0,0.0,0.0938588698406025,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.4972265556823191,0.3531276301709041,87.9797194194984,6.6374315616686275,0.01,-0.5491910960647842,-0.8628344257591472,0.0,0.0,0.0954334454063734,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"FIGARCH(1,1)-t",0.4976226526317988,0.3534677063837878,88.01423363384026,6.588361121992517,0.01,-0.5473414554166994,-0.8599284543443033,0.0,0.0,0.0942492734455486,0.0,427,0,10,0.01,0.8
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",0.5135157708529482,0.3630374779608274,89.07610018998801,8.456963946049063,0.01,-0.4924282667960393,-0.7736543142323855,0.0023419203747072,0.0023419203747072,0.0938678350298884,0.0008358631053749,427,1,10,0.01,0.8
synthetic_rough_long_memory,HAR-RV,0.1325217666551073,0.0630899541729697,62.25995228463652,-1.0639368857365752,0.01,-1.1465913595322068,-1.7037149607909683,0.0,0.0,0.114575786698395,0.0,438,0,10,0.01,0.8
synthetic_rough_long_memory,Naive-RV,0.1376972723163102,0.0564792244782813,38.29355502215926,-1.085326380502255,0.01,-1.0754611976782031,-1.5980229721790962,0.0,0.0,0.1098845397092531,0.0,438,0,10,0.01,0.8
synthetic_rough_long_memory,RGARCH-t,0.1738677807307534,0.1157977081709599,132.1330866635354,-0.9294160280531802,0.01,-1.3015886743867473,-1.9340247760575393,0.0,0.0,0.1258675384815175,0.0,438,0,10,0.01,0.8
